菜色名稱,菜色類別,每一份量,單位,每一份量說明,熱量(大卡),蛋白質(克),脂肪(克),碳水化合物(克),膳食纖維(克)
香雞排吐司,主食,145,公克,145g,415,12.5,22.2,40.5,0
培根吐司,主食,127,公克,127g,345,9.2,21.8,28.3,0
燻雞吐司,主食,133,公克,132.6g,328.2,12.6,17.6,30,0
夾肉吐司,主食,145,公克,145g,371.8,9.5,21.2,35.2,0
蔥爆豬柳吐司,主食,155,公克,155g,325,12.1,16.8,31.9,0
鮮嫩豬排吐司,主食,153,公克,153g,325,14.1,15.5,32.6,0
鮪魚吐司,主食,133,公克,133g,327,7.7,21.7,36.8,0
肉鬆蛋土司,主食,159,公克,159g,426,17.2,24.2,34.7,0
薯泥土司,主食,139,公克,139g,365,6.8,22.5,33.7,0
蔬菜吐司,主食,129,公克,129g,314,5.5,18.6,31.2,0
藍莓乳酪吐司,主食,70,公克,70g,190,5.3,6,29,0
原味乳酪吐司,主食,70,公克,70g,270,6,14.6,25.9,0
巧克力吐司,主食,60,公克,60g,206,5.2,7.3,30.3,0
花生吐司,主食,60,公克,60g,207,6.5,7.4,28.8,0
奶酥吐司,主食,60,公克,60g,218,5.1,9.7,27.8,0
奶香法國吐司,主食,146,公克,146g,398,17.6,17.5,42.3,0
總匯三明治,主食,254,公克,254g,661,21.7,36.6,60.6,0
培根蛋餅,主食,160,公克,160g,357,15.2,16.8,36.3,0
起司蛋餅,主食,140,公克,140g,344,15.7,15.6,35.2,0
原味蛋餅,主食,117,公克,117g,263,10.8,9,34.3,0
日式蛋餅,主食,139,公克,139g,336,11.3,12.4,38.1,0
玉米蛋餅,主食,147,公克,147g,292,11.5,9.7,39.3,0
火腿蛋餅,主食,141,公克,141g,297,14.6,9.8,36.9,0
蔬菜蛋餅,主食,153,公克,153g,277,11.3,9.3,37,0
鮪魚蛋餅,主食,167,公克,167g,345,13.7,17.2,44.8,0
豬柳蛋餅,主食,188,公克,188g,338,18,11.8,39.8,0
焗烤海鮮厚片,主食,120,公克,120g,316,8.2,18.1,41.3,0
焗烤培根厚片,主食,137,公克,137g,392,12.9,12.9,39.3,0
焗烤夏威夷厚片,主食,137,公克,137g,305,15.1,7.1,43.7,0
鮪魚香烤厚片,主食,137,公克,137g,342,11.9,12.8,43.5,0
巧克力厚片,主食,85,公克,85g,298,5.9,11.8,41.8,0
花生厚片,主食,85,公克,85g,299,8.9,12.1,38.8,0
奶酥厚片,主食,81,公克,81g,295,6,14.2,35.5,0
香蒜麵包,主食,55,公克,55g,168,3.3,7.5,21.2,0
藍莓乳酪貝果,主食,115,公克,115g,266,8,3,50.9,0
原味乳酪貝果,主食,115,公克,115g,346,8.7,11.6,47.8,0
巧克力貝果,主食,115,公克,115g,338,8,7.8,58.1,0
奶酥貝果,主食,120,公克,120g,398,8.4,15.6,54.9,0
花生貝果,主食,115,公克,115g,340,11,8.1,55.1,0
核桃貝果,主食,122,公克,122g,286,8.2,5.8,50.2,0
火腿貝果,主食,165,公克,165g,328,11.6,8.4,50.7,0
培根貝果,主食,170,公克,170g,383,12.1,15.3,48.7,0
燻雞貝果,主食,142,公克,142g,297,8.1,7.7,48.2,0
培根丹麥土司,主食,231,公克,231g,546,18,28.9,52.4,0
火腿丹麥土司,主食,226,公克,226g,491,17.5,22,54.4,0
鮪魚丹麥土司,主食,252,公克,252g,539,16.6,29.4,62.2,0
燻雞丹麥土司,主食,240,公克,240g,525,21.4,24.7,53.3,0
起司蛋丹麥土司,主食,214,公克,214g,498,16.2,24.5,52.2,0
薯泥丹麥土司,主食,188,公克,188g,437,8.6,19.4,55.8,0
燻雞可頌,主食,139,公克,139g,297,12.4,12,34.3,0
鮪魚可頌,主食,151,公克,151g,311,7.7,16.8,43.2,0
薯泥可頌,主食,157,公克,157g,345,6.8,17.1,40.1,0
里肌豬排可頌,主食,156,公克,156g,291,13.6,9.9,36.5,0
豬柳可頌,主食,157,公克,157g,299,11.9,11.3,37,0
現烤可頌,主食,61,公克,61g,156,4.4,1.8,29.9,0
蛋沙拉佛卡夏,主食,136,公克,136g,338,5.9,17,39.9,0
蔬菜佛卡夏,主食,136,公克,136g,338,5.9,17,39.9,0
薯泥佛卡夏,主食,169,公克,169g,406,7.4,22.2,42.8,0
火腿佛卡夏,主食,142,公克,142g,360,9.2,18.3,38.7,0
培根佛卡夏,主食,147,公克,147g,415.2,9.6,25.2,36.7,0
招牌肉佛卡夏,主食,168,公克,168g,436,0.8,24.5,42.6,0
里肌豬排佛卡夏,主食,175,公克,175g,401,14.2,20.2,39.8,0
法式蘋果核桃燒餅,主食,140,公克,140g,358,4.8,24.5,24.5,0
法式蔬菜燒餅,主食,136,公克,136g,324,4.6,19.8,19.8,0
法式薯泥燒餅,主食,169,公克,169g,424,5.8,29.7,29.7,0
法式培根燒餅,主食,142,公克,142g,389,8.2,27.5,27.5,0
花生起酥吐司,主食,79,公克,79g,225,6.5,6.7,6.7,0
巧克力起酥吐司,主食,79,公克,79g,224,5,6.6,6.6,0
奶酥起酥吐司,主食,79,公克,79g,236,5.1,9,9,0
火腿起酥吐司,主食,101,公克,101g,263,8.5,10.3,10.3,0
培根起酥吐司,主食,106,公克,106g,317,8.9,17.2,17.2,0
肉鬆起酥吐司,主食,97,公克,97g,323,10.4,13.7,13.7,0
鮪魚起酥吐司,主食,127,公克,127g,306,7.6,17.1,17.1,0
蔥抓餅,主食,53,公克,53g,161.4,3.5,7.5,20,0
黃金蝦餅,主菜,50,公克,50g,204,3.6,17.1,8.5,0
薯條,副菜,165,公克,165g,282,4,13.7,36.1,0
薯餅,副菜,63,公克,63g,81,0.6,5,8.8,0
熱狗,副菜,71,公克,71g,153,8.7,12.2,0.2,0
薯泥沙拉,副菜,132,公克,132g,241,4.1,18.1,15,0
豬腳麵線,主食,351,公克,351g,376,22.5,16.9,32.7,0
八寶冬粉,主食,274,公克,274g,280,14.3,10.6,31.7,0
鼎邊銼,主食,338,公克,338g,312,14.2,9.9,42,0
豆簽羹,主食,418,公克,418g,423,36.9,22.8,34.2,0
鰻魚羹,主食,320,公克,320g,255,15.4,13.2,18.8,0
蝦仁羹,主食,266,公克,266g,225,27.6,5.3,15.6,0
蚵仔煎,主食,272,公克,272g,455,14.2,21.5,51.6,0
肉圓,主食,185,公克,185g,324,6.2,11.9,53.2,0
天婦羅,副菜,98,公克,98g,194,9.7,8.5,20.1,0
碳烤吐司,主食,202,公克,202g,468,20.3,21.9,47.7,0
營養三明治,主食,181,公克,181g,468,13.5,21.7,54.7,0
甜酒釀湯圓,點心,280,公克,280g,471,7.2,15,77.9,0
巧克力牛軋糖,點心,16,公克,16g,79,2.4,3.9,8.6,0
牛奶牛軋糖,點心,14,公克,14.33g,70.7,2.1,3.5,7.7,0
鳳梨酥,點心,36,公克,36g,173,1.4,9.1,21.5,0
綠豆椪,點心,78,公克,78g,197,4.8,7.9,27.1,0
咖哩滷肉椪,點心,78,公克,78g,238,8.4,8.9,31.5,0
八角糕,點心,21,公克,20.5g,94.5,1.7,3.9,13.2,0
花生糕,點心,5,公克,4.75g,22.5,0.6,1.1,2.7,0
鹹雪糕,點心,13,公克,12.5g,33.5,0.4,0.1,7.9,0
米香,點心,38,公克,38g,179,6.2,7.2,22.4,0
白芝麻珍珠粩,點心,16,公克,16g,83,1.7,4.9,7.9,0
黑芝麻珍珠粩,點心,19,公克,19g,90,2,4.4,10.8,0
花生珍珠粩,點心,22,公克,22g,111,3.3,5.9,11.1,0
白米珍珠粩,點心,16,公克,16g,63,0.4,1,13.1,0
米粉湯,主食,560,公克,560g,490,1.4,11.8,95.6,0
油豆腐細粉,主食,829,公克,829g,716,27.7,35.2,73.6,0
蓮子肉粽,主食,185,公克,185g,405,11.7,19.6,44.7,0
肉粽,主食,186,公克,186g,331,10.4,9.8,49.7,0
粿粽,主食,84,公克,84g,239,4.2,8,37.1,0
米糕,主食,242,公克,242g,515,14.8,23.9,59.5,0
大腸包小腸,主食,217,公克,217g,582,22.3,35.6,44.2,0
大腸煎,主食,239,公克,239g,434,9.1,15.8,63.4,0
豬血糕,副菜,105,公克,105g,235,10.4,3.8,40.7,0
油蔥糕,副菜,245,公克,245g,305,7,3.9,59.2,0
草仔粿,點心,179,公克,179g,359,5.9,7,67.4,0
鴨肉湯麵,主食,682,公克,682g,431,19.1,14.7,57.1,0
花枝炒麵,主食,435,公克,435g,768,33.5,30,93.5,0
蚵仔麵線,主食,412,公克,412g,415,15.5,16.8,51.1,0
刈包,主食,160,公克,160g,504,15,28.4,46.5,0
肉包,主食,153,公克,153g,484,15.1,22.9,52.7,0
小籠包,主食,28,公克,28.16g,63,1.9,4.1,4.5,0
高麗菜水餃,主食,26,公克,26.2g,48.8,1.6,3.1,3.4,0
鍋貼,主食,25,公克,24.6g,75.3,1.8,3.5,9,0
胡椒餅,主食,167,公克,167g,333,11.3,18.5,29.8,0
高麗菜生煎包,主食,106,公克,106g,259,8.9,11.3,30,0
韭菜生煎包,主食,115,公克,115g,259,6.1,10.8,34.4,0
沙威瑪,主食,147,公克,147g,300,18.2,9.1,36.6,0
春捲,副菜,221,公克,221g,397,14.2,21.4,40.1,0
炸臭豆腐,主食,265,公克,265g,565,37.4,36.7,22.6,0
麻辣臭豆腐,主食,440,公克,440g,432,33.4,26.6,15.5,0
甜不辣,副菜,246,公克,246g,430,13.8,7.9,76.7,0
阿給,主菜,255,公克,255g,371,26.8,7.8,48.6,0
肉羹,主菜,334,公克,334g,405,30.8,21.7,20,0
魚酥羹,湯品,277,公克,277g,217,2.1,12.6,24.4,0
魷魚羹,湯品,328,公克,328g,124,11,2.8,14.2,0
魚丸湯,湯品,594,公克,594g,181,12.1,8.4,14.5,0
大餅包小餅,主食,100,公克,100g,373,8.3,16.5,48.5,0
甜麻糬,點心,73,公克,73g,120.5,2.3,1.3,25,0
紅豆芋圓,點心,401,公克,401g,402,14.3,0.8,86.4,0
紅豆車輪餅,點心,93,公克,93g,226,6.2,4.5,40.4,0
綠豆沙酥餅,點心,89,公克,89g,392,6.8,22.4,40.9,0
松子酥,點心,107,公克,107g,390,6.8,12.9,64.2,0
鴛鴦酥,點心,104,公克,104g,379,6.7,12.6,62.4,0
千層蜂蜜蛋糕,點心,40,公克,40g,144,2.6,7.1,17.6,0
魚丸冬粉,主食,431,公克,431g,345,8.6,10.8,53.8,0
客家粄條,主食,498,公克,498g,428,8.8,12.1,72.6,0
客家菜包,主食,166,公克,166g,363,4.5,11.7,59.7,0
蔥燒包,主食,183,公克,183g,512,15.1,16.9,73.4,0
蔥燒包(無餡),主食,145,公克,145g,404,10.2,6.1,76.1,0
潤餅,主食,211,公克,211g,495,16.1,31.1,40.9,0
花生軟糖,點心,20,公克,20g,80.5,3,4.9,6.2,0
花生酥糖,點心,8,公克,8.33g,44.8,1.7,2.5,3.8,0
月光餅,點心,59,公克,59g,149,1.9,1.3,32.5,0
紅豆肚臍餅,點心,78,公克,78g,186,7.8,0.6,37.5,0
芋頭肚臍餅,點心,77,公克,77g,185,7.7,0.5,37.1,0
鹹豆沙肚臍餅,點心,77,公克,77g,187,7.8,0.7,37.2,0
辣包干,點心,80,公克,80g,320,13.6,20.8,27.2,0
香菇豆干,點心,80,公克,80g,320,13.6,20.8,27.2,0
